Comment,Designator,Footprint,LCSC
0.1uF,C1 C2 C3 C4 C5,Capacitor_SMD:C_0603_1608Metric
150,R1,Resistor_SMD:R_0603_1608Metric
ME6211A33M3G-N,U1,Package_TO_SOT_SMD:SOT-23
SN74LVC1T45DBV,U2,Package_TO_SOT_SMD:SOT-23-6
SN75176AD,U3,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
TS5A23159DGS,U4,Package_SO:VSSOP-10_3x3mm_P0.5mm
